id	difficulty	category	prompt	choices	answers	turorial
39	3	["find"]	カレントディレクトリ配下から `.txt` の通常ファイルを検索する。	["find", ".", "-type", "f", "-name", "\"*.txt\"", "*.txt", "-r"]	[[1, 2, 3, 4, 5, 6]]	
40	3	["cut"]	CSVファイル `users.csv` の1列目だけを表示し、結果を `names.txt` に保存する。	["cut", "-d", "\",\"", "-f", "1", "users.csv", ">", "names.txt", "awk"]	[[1, 2, 3, 4, 5, 6, 7, 8]]	
41	3	["wc"]	ファイル `app.log` の行数を `count.txt` に保存する。	["wc", "-l", "app.log", ">", "count.txt", "grep", "-w"]	[[1, 2, 3, 4, 5]]	
42	3	["tar"]	ディレクトリ `dir` を `archive.tar.gz` として gzip 圧縮アーカイブにする。	["tar", "-czf", "archive.tar.gz", "dir", "-xzf", "gzip"]	[[1, 2, 3, 4]]	
43	3	["tar"]	gzip 圧縮アーカイブ `archive.tar.gz` を展開する。	["tar", "-xzf", "archive.tar.gz", "-czf", "dir"]	[[1, 2, 3]]	
44	3	["curl"]	URL `https://example.com` の内容を取得し、`index.html` に保存する。	["curl", "-o", "index.html", "https://example.com", "-O", "wget"]	[[1, 2, 3, 4]]	
45	3	["ssh"]	ポート `2222` を指定して `user@example.com` にSSH接続する。	["ssh", "-p", "2222", "user@example.com", "-P", "scp"]	[[1, 2, 3, 4]]	
46	3	["chmod"]	ディレクトリ `public` 配下を再帰的に権限 `755` に変更する。	["chmod", "-R", "755", "public", "644", "chown"]	[[1, 2, 3, 4]]	
47	3	["df"]	ファイルシステムの空き容量を、種類付きかつ読みやすい単位で表示する。	["df", "-h", "-T", "du", "-i"]	[[1, 2, 3], [1, 3, 2]]	
48	3	["du"]	カレントディレクトリ直下1階層分の容量を読みやすい単位で表示する。	["du", "-h", "--max-depth", "1", ".", "df", "-s"]	[[1, 2, 3, 4, 5]]	
49	3	["cp"]	ディレクトリ `src` を `backup` に再帰的にコピーし、処理内容を表示する。	["cp", "-r", "-v", "src", "backup", "mv", "-i"]	[[1, 2, 3, 4, 5], [1, 3, 2, 4, 5]]	
50	3	["mv"]	ファイル `app.log` を `logs/` に移動し、処理内容を表示する。	["mv", "-v", "app.log", "logs/", "cp", "-i"]	[[1, 2, 3, 4]]	
51	4	["grep", "wc"]	ファイル `app.log` から `error` を含む行を抽出し、その件数を `count.txt` に保存する。	["grep", "\"error\"", "app.log", "|", "wc", "-l", ">", "count.txt", "cat", "-v"]	[[1, 2, 3, 4, 5, 6, 7, 8]]	
52	4	["sort", "uniq", "head"]	ファイル `names.txt` を並べ替え、重複をまとめて出現回数を表示し、上位10行だけを表示する。	["sort", "names.txt", "|", "uniq", "-c", "|", "head", "-n", "10", "wc"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9]]	
53	4	["tail", "grep", "wc"]	ファイル `app.log` の末尾200行から `error` を含む行だけを抽出し、件数を表示する。	["tail", "-n", "200", "app.log", "|", "grep", "\"error\"", "|", "wc", "-l", "head"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]	
54	4	["find"]	カレントディレクトリ配下から `.log` の通常ファイルを検索し、結果を `logs.txt` に保存する。	["find", ".", "-type", "f", "-name", "\"*.log\"", ">", "logs.txt", "*.log", "grep"]	[[1, 2, 3, 4, 5, 6, 7, 8]]	
55	4	["cut", "sort", "uniq"]	CSVファイル `users.csv` の1列目を抽出し、並べ替えて重複を取り除く。	["cut", "-d", "\",\"", "-f", "1", "users.csv", "|", "sort", "|", "uniq", "awk"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]	
56	4	["ps", "grep", "wc"]	プロセス一覧から `nginx` を含む行を抽出し、その件数を表示する。	["ps", "aux", "|", "grep", "nginx", "|", "wc", "-l", "pkill", "-ef"]	[[1, 2, 3, 4, 5, 6, 7, 8]]	
57	4	["ls", "head"]	カレントディレクトリの詳細一覧をサイズ順に並べ、先頭5行だけを表示する。	["ls", "-l", "-S", "|", "head", "-n", "5", "awk", "-t"]	[[1, 2, 3, 4, 5, 6, 7], [1, 3, 2, 4, 5, 6, 7]]	
58	4	["du", "sort"]	カレントディレクトリ直下1階層分の容量を表示し、サイズ順に並べる。	["du", "-h", "--max-depth", "1", ".", "|", "sort", "-h", "df", "-s"]	[[1, 2, 3, 4, 5, 6, 7, 8]]	
59	4	["curl"]	URL `https://example.com` へアクセスし、リダイレクトを追跡して `index.html` に保存する。	["curl", "-L", "-o", "index.html", "https://example.com", "wget", "-I"]	[[1, 2, 3, 4, 5]]	
60	4	["tar"]	アーカイブ `archive.tar.gz` を `/tmp` に展開する。	["tar", "-xzf", "archive.tar.gz", "-C", "/tmp", "-czf", "dir", "gzip"]	[[1, 2, 3, 4, 5]]	
68	4	["curl"]	URL `https://example.com` のヘッダーをリダイレクト追跡付きで取得し、`headers.txt` に保存する。	["curl", "-L", "-I", "https://example.com", ">", "headers.txt", "wget", "-o"]	[[1, 2, 3, 4, 5, 6], [1, 3, 2, 4, 5, 6]]	
69	4	["tar"]	ディレクトリ `dir` を gzip 圧縮アーカイブ `archive.tar.gz` にし、処理内容を表示する。	["tar", "-czf", "archive.tar.gz", "dir", "-v", "gzip", "-xzf"]	[[1, 2, 3, 4, 5]]	
70	4	["ssh"]	秘密鍵 `key.pem` とポート `2222` を指定して `user@example.com` にSSH接続する。	["ssh", "-i", "key.pem", "-p", "2222", "user@example.com", "-P", "scp"]	[[1, 2, 3, 4, 5, 6], [1, 2, 3, 5, 4, 6], [1, 3, 2, 4, 5, 6], [1, 3, 2, 5, 4, 6]]	
61	5	["grep", "sort", "uniq"]	`app.log` から `error` を含む行を抽出し、重複をまとめて件数付きで表示し、結果を `summary.txt` に保存する。	["grep", "\"error\"", "app.log", "|", "sort", "|", "uniq", "-c", ">", "summary.txt", "cat", "-v", "wc"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]	
62	5	["tail", "grep", "sort", "uniq"]	`app.log` の末尾500行から `error` を含む行を抽出し、重複をまとめて件数付きで表示する。	["tail", "-n", "500", "app.log", "|", "grep", "\"error\"", "|", "sort", "|", "uniq", "-c", "head", "-f"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]	
63	5	["find", "wc"]	カレントディレクトリ配下から `.log` の通常ファイルを検索し、その件数を `log_count.txt` に保存する。	["find", ".", "-type", "f", "-name", "\"*.log\"", "|", "wc", "-l", ">", "log_count.txt", "*.log", "grep"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]	
64	5	["cut", "sort", "uniq"]	`users.csv` から1列目を抽出し、並べ替えて重複をまとめ、出現回数を `user_counts.txt` に保存する。	["cut", "-d", "\",\"", "-f", "1", "users.csv", "|", "sort", "|", "uniq", "-c", ">", "user_counts.txt", "awk"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]	
65	5	["ps", "grep", "head"]	プロセス一覧から `nginx` を含む行を抽出し、その結果の先頭5行を `nginx.txt` に保存する。	["ps", "aux", "|", "grep", "nginx", "|", "head", "-n", "5", ">", "nginx.txt", "kill", "-ef"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]	
66	5	["ls", "head"]	カレントディレクトリの詳細一覧をサイズ順に並べ、先頭5行を `top_files.txt` に保存する。	["ls", "-l", "-S", "|", "head", "-n", "5", ">", "top_files.txt", "awk", "-t", "tail"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9], [1, 3, 2, 4, 5, 6, 7, 8, 9]]	
67	5	["du", "sort", "head"]	カレントディレクトリ直下1階層分の容量を表示し、サイズ順に並べ、先頭10行を表示する。	["du", "-h", "--max-depth", "1", ".", "|", "sort", "-h", "|", "head", "-n", "10", "df"]	[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]	
